Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,10.0,2026-01-01 02:45:00,507.36,1.5,2026-01-02 02:45:00,500.04,1.5,-76.19999999999982,-0.015018921475875082,Long,Closed,0
1,0,10.0,2026-01-07 15:45:00,602.92,1.5,2026-01-08 15:45:00,771.13,1.5,1679.1000000000004,0.27849465932462025,Long,Closed,1
2,0,10.0,2026-01-09 17:45:00,593.46,1.5,2026-01-10 17:45:00,642.97,1.5,492.10000000000036,0.0829205001179524,Long,Closed,2
3,0,10.0,2026-01-11 16:45:00,620.64,1.5,2026-01-12 16:45:00,618.37,1.5,-25.699999999999818,-0.0041408868265016465,Long,Closed,3
4,0,10.0,2026-01-13 19:45:00,587.42,1.5,2026-01-14 19:45:00,636.69,1.5,489.7000000000007,0.08336454325695426,Long,Closed,4
5,0,10.0,2026-01-18 16:15:00,616.89,1.5,2026-01-19 16:15:00,692.76,1.5,755.7000000000007,0.12250158050868076,Long,Closed,5
6,0,10.0,2026-01-25 16:30:00,620.38,1.5,2026-01-26 16:30:00,670.0,1.5,493.1999999999998,0.07949966149779164,Long,Closed,6
7,0,10.0,2026-02-15 19:00:00,592.7,1.5,2026-02-16 19:00:00,633.14,1.5,401.39999999999964,0.06772397502952583,Long,Closed,7
8,0,10.0,2026-02-16 19:15:00,626.59,1.5,2026-02-16 23:45:00,585.48,1.5,-414.10000000000036,-0.06608787245248095,Long,Closed,8
9,0,10.0,2026-02-18 12:30:00,599.29,1.5,2026-02-19 12:30:00,589.5,1.5,-100.89999999999964,-0.01683658996479161,Long,Closed,9
10,0,10.0,2026-02-22 06:00:00,532.3,1.5,2026-02-23 06:00:00,555.27,1.5,226.69999999999982,0.042588765733608834,Long,Closed,10
11,0,10.0,2026-02-23 11:45:00,522.69,1.5,2026-02-23 12:45:00,501.07,1.5,-219.20000000000073,-0.04193690332701997,Long,Closed,11
12,0,10.0,2026-03-01 07:45:00,555.38,1.5,2026-03-02 07:45:00,622.66,1.5,669.7999999999993,0.12060211026684418,Long,Closed,12
13,0,10.0,2026-03-08 07:00:00,639.06,1.5,2026-03-09 07:00:00,718.3199999999999,1.5,789.5999999999995,0.12355647357055669,Long,Closed,13
14,0,10.0,2026-03-12 22:45:00,539.86,1.5,2026-03-13 22:45:00,616.85,1.5,766.8999999999996,0.14205534768273248,Long,Closed,14
15,0,10.0,2026-03-15 12:30:00,543.95,1.5,2026-03-16 12:30:00,511.86,1.5,-323.89999999999964,-0.05954591414652075,Long,Closed,15
16,0,10.0,2026-03-22 07:00:00,617.51,1.5,2026-03-23 07:00:00,730.64,1.5,1128.2999999999993,0.18271768878236777,Long,Closed,16
17,0,10.0,2026-03-24 15:00:00,501.0400000000001,1.5,2026-03-25 15:00:00,500.1,1.5,-12.400000000000546,-0.0024748523072011305,Long,Closed,17
18,0,10.0,2026-03-29 11:45:00,509.98999999999995,1.5,2026-03-30 11:45:00,523.24,1.5,129.5,0.025392654757936433,Long,Closed,18
19,0,10.0,2026-03-30 13:45:00,502.59,1.5,2026-03-30 14:30:00,507.59,1.5,47.0,0.009351558924769694,Long,Closed,19
20,0,10.0,2026-03-30 14:45:00,504.51000000000005,1.5,2026-03-30 15:30:00,511.66,1.5,68.5,0.013577530673326593,Long,Closed,20
21,0,10.0,2026-04-05 00:00:00,502.2900000000001,1.5,2026-04-06 00:00:00,503.99,1.5,13.99999999999909,0.0027872344661448744,Long,Closed,21
22,0,10.0,2026-04-06 02:00:00,501.61,1.5,2026-04-06 16:15:00,467.0,1.5,-349.10000000000036,-0.06959590119814205,Long,Closed,22
23,0,10.0,2026-04-06 17:45:00,500.76000000000005,1.5,2026-04-07 02:00:00,602.44,1.5,1013.8000000000002,0.2024522725457305,Long,Closed,23
24,0,10.0,2026-04-12 10:15:00,524.93,1.5,2026-04-13 10:15:00,633.0,1.5,1077.7000000000007,0.20530356428476196,Long,Closed,24
25,0,10.0,2026-04-19 11:30:00,525.38,1.5,2026-04-20 11:30:00,573.71,1.5,480.3000000000002,0.0914195439491416,Long,Closed,25
26,0,10.0,2026-04-25 12:30:00,390.06,1.5,2026-04-26 12:30:00,243.82999999999998,1.5,-1465.3000000000002,-0.37566015484797216,Long,Closed,26
27,0,10.0,2026-04-26 17:00:00,497.9,1.5,2026-04-26 18:30:00,644.26,1.5,1460.6000000000004,0.2933520787306689,Long,Closed,27
28,0,10.0,2026-05-01 11:30:00,380.0,1.5,2026-05-02 11:30:00,476.69,1.5,963.8999999999996,0.253657894736842,Long,Closed,28
29,0,10.0,2026-05-02 12:45:00,387.55,1.5,2026-05-03 12:45:00,492.0,1.5,1041.5,0.2687395174816153,Long,Closed,29
30,0,10.0,2026-05-03 16:30:00,500.18999999999994,1.5,2026-05-04 07:45:00,640.29,1.5,1398.0,0.27949379235890365,Long,Closed,30
31,0,10.0,2026-05-10 08:30:00,563.18,1.5,2026-05-11 08:30:00,642.2,1.5,787.2000000000007,0.13977769096913967,Long,Closed,31
32,0,10.0,2026-05-11 19:45:00,638.21,1.5,2026-05-12 19:45:00,653.03,1.5,145.1999999999989,0.022751132072515143,Long,Closed,32
33,0,10.0,2026-05-17 07:30:00,570.88,1.5,2026-05-18 07:30:00,659.09,1.5,879.1000000000004,0.15399033071748885,Long,Closed,33
